PHL.1_1,PHL,Philippines,Abra,NA,NA,Lalawigan,Province,1401,PH.AB,PH-ABR
PHL.2_1,PHL,Philippines,Agusan del Norte,NA,NA,Lalawigan,Province,1602,PH.AN,PH-AGN
PHL.3_1,PHL,Philippines,Agusan del Sur,NA,NA,Lalawigan,Province,1603,PH.AS,PH-AGS
PHL.4_1,PHL,Philippines,Aklan,NA,NA,Lalawigan,Province,604,PH.AK,PH-AKL
PHL.5_1,PHL,Philippines,Albay,NA,NA,Lalawigan,Province,505,PH.AL,PH-ALB
PHL.6_1,PHL,Philippines,Antique,NA,NA,Lalawigan,Province,606,PH.AQ,PH-ANT
PHL.7_1,PHL,Philippines,Apayao,NA,NA,Lalawigan,Province,1481,PH.AP,PH-APA
PHL.8_1,PHL,Philippines,Aurora,NA,NA,Lalawigan,Province,377,PH.AU,PH-AUR
PHL.9_1,PHL,Philippines,Basilan,NA,NA,Lalawigan,Province,1507,PH.BS,PH-BAS
PHL.10_1,PHL,Philippines,Bataan,NA,NA,Lalawigan,Province,308,PH.BA,PH-BAN
PHL.11_1,PHL,Philippines,Batanes,NA,NA,Lalawigan,Province,209,PH.BN,PH-BTN
PHL.12_1,PHL,Philippines,Batangas,NA,NA,Lalawigan,Province,410,PH.BT,PH-BTG
PHL.13_1,PHL,Philippines,Benguet,NA,NA,Lalawigan,Province,1411,PH.BG,PH-BEN
PHL.14_1,PHL,Philippines,Biliran,NA,NA,Lalawigan,Province,878,PH.BI,PH-BIL
PHL.15_1,PHL,Philippines,Bohol,NA,NA,Lalawigan,Province,712,PH.BO,PH-BOH
PHL.16_1,PHL,Philippines,Bukidnon,NA,NA,Lalawigan,Province,1013,PH.BK,PH-BUK
PHL.17_1,PHL,Philippines,Bulacan,NA,NA,Lalawigan,Province,314,PH.BU,PH-BUL
PHL.18_1,PHL,Philippines,Cagayan,NA,NA,Lalawigan,Province,215,PH.CG,PH-CAG
